Epoch 2 Loss 1.9658183654323578, Validation Accuracy 11/16
Epoch 2 Loss 1.7204236999922813, Validation Accuracy 14/16
Epoch 2 Loss 1.8074479567409023, Validation Accuracy 13/16
Epoch 2 Loss 2.4390959243809216, Validation Accuracy 15/16
Epoch 2 Loss 2.240255237243023, Validation Accuracy 14/16
Epoch 2 Loss 1.6153709654969628, Validation Accuracy 15/16
Epoch 2 Loss 2.7964031768901934, Validation Accuracy 13/16
Epoch 2 Loss 1.8333415328279001, Validation Accuracy 15/16
Epoch 2 Loss 1.7116722975804624, Validation Accuracy 15/16
Epoch 2 Loss 1.8455196481199323, Validation Accuracy 15/16
Epoch 2 Loss 1.1834791481800937, Validation Accuracy 15/16
Epoch 2 Loss 2.6286295336986742, Validation Accuracy 14/16
Epoch 2 Loss 2.911172952472948, Validation Accuracy 15/16
Epoch 2 Loss 1.416010942435249, Validation Accuracy 13/16
Epoch 2 Loss 1.242185276765846, Validation Accuracy 15/16
Epoch 2 Loss 1.2073340900576293, Validation Accuracy 15/16
Epoch 2 Loss 1.0911165777453202, Validation Accuracy 16/16
Epoch 2 Loss 2.2038836345832666, Validation Accuracy 14/16
Epoch 2 Loss 1.3159569375511109, Validation Accuracy 14/16
Epoch 2 Loss 2.349007458151376, Validation Accuracy 15/16
Epoch 2 Loss 0.9649863241227543, Validation Accuracy 13/16
Epoch 2 Loss 1.1232144908821002, Validation Accuracy 13/16
Epoch 2 Loss 2.083639175106557, Validation Accuracy 15/16
Epoch 2 Loss 2.5309413137977925, Validation Accuracy 15/16
Epoch 2 Loss 1.4466253463138874, Validation Accuracy 16/16
Epoch 2 Loss 1.9335424241672476, Validation Accuracy 11/16
Epoch 2 Loss 1.6464063978771146, Validation Accuracy 15/16
Epoch 2 Loss 2.3054039602987006, Validation Accuracy 13/16
Epoch 3 Loss 0.08191367369295471, Validation Accuracy 15/16
Epoch 3 Loss 1.8840415888078277, Validation Accuracy 15/16
Epoch 3 Loss 2.5312981622822655, Validation Accuracy 15/16
Epoch 3 Loss 1.5798927319157827, Validation Accuracy 14/16
Epoch 3 Loss 1.6968814657218116, Validation Accuracy 13/16
Epoch 3 Loss 1.2887501310202074, Validation Accuracy 16/16
Epoch 3 Loss 1.7364394793275253, Validation Accuracy 15/16
Epoch 3 Loss 1.8525048957464931, Validation Accuracy 14/16
Epoch 3 Loss 2.273819091198598, Validation Accuracy 14/16
Epoch 3 Loss 1.7868676159226022, Validation Accuracy 15/16
Epoch 3 Loss 1.8434560084020393, Validation Accuracy 13/16
Epoch 3 Loss 2.8453541496722328, Validation Accuracy 15/16
Epoch 3 Loss 2.2021934589962133, Validation Accuracy 15/16
Epoch 3 Loss 2.6580636252954797, Validation Accuracy 13/16
Epoch 3 Loss 2.443219416605064, Validation Accuracy 15/16
Epoch 3 Loss 1.3062213704304058, Validation Accuracy 15/16
Epoch 3 Loss 2.6406114348575627, Validation Accuracy 15/16
Epoch 3 Loss 1.7927471578772025, Validation Accuracy 14/16
Epoch 3 Loss 1.9362484867431504, Validation Accuracy 15/16
Epoch 3 Loss 1.569429166401891, Validation Accuracy 15/16
Epoch 3 Loss 1.2927486634025045, Validation Accuracy 13/16
Epoch 3 Loss 1.1733960974872666, Validation Accuracy 14/16
Epoch 3 Loss 1.1671818217310974, Validation Accuracy 15/16
Epoch 3 Loss 1.9458719812910221, Validation Accuracy 15/16
Epoch 3 Loss 1.2991223422228662, Validation Accuracy 13/16
Epoch 3 Loss 2.0278802070300266, Validation Accuracy 12/16
Epoch 3 Loss 2.0801088903876748, Validation Accuracy 14/16
Epoch 3 Loss 1.1955314302523123, Validation Accuracy 16/16
Epoch 3 Loss 1.711284581070553, Validation Accuracy 14/16
Epoch 3 Loss 0.7377521009235892, Validation Accuracy 15/16
Epoch 3 Loss 1.486903935797508, Validation Accuracy 16/16
Epoch 3 Loss 1.078338363331956, Validation Accuracy 15/16
Epoch 3 Loss 0.8540833071441101, Validation Accuracy 13/16
Epoch 3 Loss 1.2736798193821026, Validation Accuracy 14/16
Epoch 3 Loss 2.1287494108794482, Validation Accuracy 14/16
Epoch 3 Loss 1.6664535577569204, Validation Accuracy 14/16
Epoch 3 Loss 0.8407558639891932, Validation Accuracy 13/16
Epoch 3 Loss 1.817740670482383, Validation Accuracy 14/16
Epoch 3 Loss 2.220367726316921, Validation Accuracy 14/16
Epoch 3 Loss 1.5690827876124425, Validation Accuracy 14/16
Epoch 3 Loss 0.9683975391503121, Validation Accuracy 15/16
Epoch 3 Loss 1.5817087887862344, Validation Accuracy 15/16
Epoch 3 Loss 1.426379430959602, Validation Accuracy 15/16
Epoch 3 Loss 1.6930859782983585, Validation Accuracy 12/16
Epoch 3 Loss 1.2484673068323682, Validation Accuracy 15/16
Epoch 3 Loss 1.5205854499116789, Validation Accuracy 13/16
Epoch 3 Loss 1.439013556196299, Validation Accuracy 14/16
Epoch 3 Loss 2.2989669974394644, Validation Accuracy 16/16
Epoch 3 Loss 1.199483862053952, Validation Accuracy 15/16
Epoch 3 Loss 0.9278001512290357, Validation Accuracy 15/16
Epoch 3 Loss 0.7211611665184727, Validation Accuracy 15/16
Epoch 3 Loss 0.7989010998071965, Validation Accuracy 16/16
Epoch 3 Loss 1.4438836611785435, Validation Accuracy 14/16
Epoch 3 Loss 1.5341623043134454, Validation Accuracy 14/16
Epoch 3 Loss 1.379990899269721, Validation Accuracy 14/16
Epoch 3 Loss 0.9798708893376726, Validation Accuracy 15/16
Epoch 3 Loss 1.0256938955620991, Validation Accuracy 14/16
Epoch 3 Loss 2.3917731785084273, Validation Accuracy 15/16
Epoch 3 Loss 2.2850844103575287, Validation Accuracy 13/16
Epoch 3 Loss 1.567426597941786, Validation Accuracy 16/16
Epoch 3 Loss 1.4434129609020645, Validation Accuracy 15/16
Epoch 3 Loss 1.2538662322762495, Validation Accuracy 14/16
Epoch 3 Loss 1.5750577816582498, Validation Accuracy 14/16
Epoch 4 Loss 0.0286099077770596, Validation Accuracy 15/16
Epoch 4 Loss 1.5378910196218762, Validation Accuracy 15/16
Epoch 4 Loss 2.0279476298725463, Validation Accuracy 11/16
Epoch 4 Loss 0.9793330823155841, Validation Accuracy 14/16
Epoch 4 Loss 1.3888742674099872, Validation Accuracy 14/16
Epoch 4 Loss 1.071343657029815, Validation Accuracy 15/16
Epoch 4 Loss 1.4157107936586653, Validation Accuracy 15/16
Epoch 4 Loss 2.061258240149843, Validation Accuracy 16/16
Epoch 4 Loss 1.992828233641958, Validation Accuracy 15/16
Epoch 4 Loss 1.3659462742692359, Validation Accuracy 15/16
Epoch 4 Loss 1.7036245248509676, Validation Accuracy 15/16
Epoch 4 Loss 2.630083377147561, Validation Accuracy 13/16
Epoch 4 Loss 1.8310584112032584, Validation Accuracy 15/16
Epoch 4 Loss 1.8929206528333986, Validation Accuracy 14/16
Epoch 4 Loss 2.2861463281951924, Validation Accuracy 15/16
Epoch 4 Loss 1.0224209886611029, Validation Accuracy 14/16
Epoch 4 Loss 2.738690302274243, Validation Accuracy 15/16
Epoch 4 Loss 1.9284033290625842, Validation Accuracy 16/16
Epoch 4 Loss 1.4522557434037533, Validation Accuracy 14/16
Epoch 4 Loss 0.9860471971584639, Validation Accuracy 14/16
Epoch 4 Loss 1.6753657517409204, Validation Accuracy 14/16
Epoch 4 Loss 1.041548690614953, Validation Accuracy 14/16
Epoch 4 Loss 0.6733009479478075, Validation Accuracy 14/16
Epoch 4 Loss 1.9172445437728007, Validation Accuracy 13/16
Epoch 4 Loss 0.973666225252891, Validation Accuracy 14/16
Epoch 4 Loss 1.6838975226034518, Validation Accuracy 13/16
Epoch 4 Loss 2.2341541355689674, Validation Accuracy 15/16
Epoch 4 Loss 1.5082287403337065, Validation Accuracy 14/16
Epoch 4 Loss 1.041391338805497, Validation Accuracy 13/16
Epoch 4 Loss 0.8408749394007784, Validation Accuracy 15/16
Epoch 4 Loss 1.3298836263395395, Validation Accuracy 14/16
Epoch 4 Loss 1.096940264715244, Validation Accuracy 16/16
Epoch 4 Loss 0.6391509312737976, Validation Accuracy 16/16
Epoch 4 Loss 1.568285025540124, Validation Accuracy 15/16
Epoch 4 Loss 1.5144353100387375, Validation Accuracy 14/16
Epoch 4 Loss 0.6515724499897905, Validation Accuracy 15/16
Epoch 4 Loss 1.1253232516962353, Validation Accuracy 16/16
Epoch 4 Loss 1.25422766600762, Validation Accuracy 13/16
Epoch 4 Loss 1.5503045947307137, Validation Accuracy 14/16
Epoch 4 Loss 1.078259470772949, Validation Accuracy 15/16
Epoch 4 Loss 0.9155869824378841, Validation Accuracy 16/16
Epoch 4 Loss 2.0457967219064908, Validation Accuracy 12/16
Epoch 4 Loss 1.3085560252461819, Validation Accuracy 15/16
Epoch 4 Loss 0.7814838971953534, Validation Accuracy 14/16
Epoch 4 Loss 1.6608990099382899, Validation Accuracy 13/16
Epoch 4 Loss 0.5038841909789563, Validation Accuracy 13/16
